cluster_method,threshold,cluster_parameter,weighted_entropy,relative_num_clusters,weighted_dissimilarity
agglomerative,0.04,1496,999,0.28435658620034215,0.16434210538864136
agglomerative,0.04,1551,999,0.29481087245770765,0.16124027967453003
agglomerative,0.04,1607,999,0.3054552366470253,0.15726375579833984
agglomerative,0.04,1662,999,0.3159095229043908,0.15383416414260864
agglomerative,0.04,1717,999,0.32636380916175634,0.14979779720306396
agglomerative,0.04,1773,999,0.3370081733510739,0.1462957262992859
agglomerative,0.04,1828,999,0.34746245960843947,0.1435028314590454
agglomerative,0.04,1884,999,0.3581068237977571,0.1399674415588379
agglomerative,0.04,1939,999,0.3685611100551226,0.13629919290542603
agglomerative,0.04,1994,999,0.3790153963124881,0.13353180885314941
agglomerative,0.04,2050,999,0.38965976050180573,0.13030380010604858
agglomerative,0.04,2105,999,0.4001140467591713,0.12737363576889038
